,rule_title,rule_text
4428,Valentine’s Day,
4429,valley,"lc, eg Thames valley, Ruhr valley, the Welsh valleys, valley girl (California); but Silicon Valley"
4430,Valium,TM; a brand of diazepam
4431,Valparaíso,
4432,Valuation Office Agency,"(VOA after first mention) an executive agency of HM Revenue & Customs, it compiles business rating and council tax valuation lists for England and Wales but not Scotland, where the job is done by the Scottish Assessors"
4433,ValuJet,Atlanta-based budget airline now called AirTran
4434,Vanessa-Mae,violinist
4435,"Van Gogh, Vincent",(1853-90) Dutch artist; note that as with most Dutch names it is Van Gogh when just the surname is used (a Van Gogh masterpiece) but van Gogh with the forename (a masterpiece by Vincent van Gogh)
4436,"Van Rompuy, Herman","Belgian ex-president of the European council. The Van is capped up when his forename is used, ie Herman Van Rompuy"
4437,Vanuatu,"archipelago in the South Pacific Ocean, formerly New Hebrides; its people are Ni-Vanuatu, not “Vanuatuans”"
4438,vapour,but vaporise
4439,"Vargas Llosa, Mario","Peruvian writer and politician, born 1936; his son Álvaro is also a writer"
4440,variant,"the correct term for a different form of a virus; avoid using the term strain unless in direct quotes. In relation to Covid-19, significant variants in the UK have included Omicron (B.1.1.529) and Delta (B.1.617.2)"
4441,Vaseline,TM; call it petroleum jelly
4442,VAT,value added tax; no need to spell it out
4443,Vatican City,no “the” (but the Vatican)
4444,Vaughan or Vaughn?,"Frankie Vaughan (late singer), Johnny Vaughan (broadcaster), Michael Vaughan (cricketer), Sarah Vaughan (late singer).

Matthew Vaughn (film producer), Robert Vaughn, Vince Vaughn (actors)"
4445,VE Day,8 May 1945; VJ Day 15 August 1945
4446,Vehicle and Operator Services Agency,"Vosa after first mention. Body that regulates the MoT test, formed by a merger of the Vehicle Inspectorate and Traffic Area Network"
4447,vehicle tax,"not “road fund licence” (abolished in 1937) or “road tax”, which tend to be used by petrolheads to suggest, wrongly, that this duty is hypothecated for road maintenance. All taxpayers pay for roads, not just motorists. The oddly fascinating history of ‘road tax’"
4448,"Velázquez, Diego",(1599-1660) Spanish painter
4449,Velcro,TM
4450,veld,not veldt
4451,venal,open to bribery
4452,venial,easily forgiven
4453,venerable,"worthy of reverence, not just old"
4454,venetian blind,
4455,Venice Biennale,thereafter biennale
4456,veranda,not verandah
4457,verdicts,"recorded by coroners, returned by inquest juries"
4458,Verkhovna Rada,(supreme council) Ukraine’s parliament
4459,vermilion,
4460,verruca,not verucca
4461,very,"usually very redundant.

“Substitute ‘damn’ every time you’re inclined to write ‘very’. Your editor will delete it and the writing will be just as it should be” (a quotation often attributed to Mark Twain but now thought to be the advice of William Allen White)"
4462,Vespa,scooters
4463,Vesta,curries
4464,veterinary,
4465,"veto, vetoes, vetoed, vetoing",
4466,Viagra,TM; the generic is sildenafil citrate
4467,vicar,"a cleric of the Anglican church (which also has rectors and curates, etc), not of any other denomination.

A priest writes: “A vicar is a person who is the incumbent of a parish, and the term is a job description in the same way that editor is a job description. All editors are journalists but not all journalists are editors. In the same way, all vicars are priests, but not all priests are vicars. Some priests are chaplains; some (like me) are forensic social workers; some are retired; some are shopworkers; some are police officers”"
4468,"vice-chair, vice-chancellor, vice-president",
4469,vice versa,
4470,vichyssoise,"If you are not sure how to spell it, simply warm it up and you’ve got a nice bowl of leek and potato soup"
4471,video link,
4472,video game,"preferable to computer game, and two words, although Sheffield is the home of the National Videogame Museum"
4473,videotape,"noun and verb, although normally shortened to video or tape; the two are interchangeable - Did you video that programme? No, I taped something else"
4474,"vie, vying",
4475,Vietnamese names,These are written in three parts eg Tran Dai Quang (family name/middle name/given name); on second mention use the given name eg Quang (except in leading articles: Mr Quang)
4476,Vientiane,capital of Laos
4477,"Villa-Lobos, Heitor",(1887-1959) Brazilian composer
4478,Vine,for the site; individual posts are vines
4479,virtuoso,plural virtuosos
4480,virus,"not the same as a bacterium, but we often confuse the two"
4481,vis-a-vis,no accent
4482,vocal cords,not chords
4483,Vodafone,
4484,"von der Leyen, Ursula","the president of the European Commission. Do not cap up the v or d when just her surname is used, unless it starts the sentence. So, for example: “The Brexit talks brought von der Leyen to despair.”"
4485,voodoo,"use for fictional sorcery or metaphorical trickery, eg, statistical voodoo on the figures"
4486,Voodoo,"Use for African-based religion also practised in the Caribbean and southern states of the US; but use relevant spelling when referring to the religion in specific ountries: Vodou in Haiti, Vodum in Brazil, Vodú in Cuba, Vodun in west Africa and Vudú in the Dominican Republic"
4487,voiceover,"

voilà"
4488,voilà,
4489,volcano,plural volcanoes
4490,volcanology,not vulcanology
4491,Volgograd,Russian city known as Tsaritsyn until 1925 and Stalingrad from 1925 to 1961
4492,Volodymyr Zelenskiy,
4493,vortex,plural vortices
4494,vote of confidence,"if a confidence motion is tabled by the government in parliament it is referred to as a vote of confidence. If it is tabled by the opposition it is a vote of no confidence. In either case it is fine to refer to a “confidence vote” as shorthand in furniture.

If 15% of Conservative MPs write to the chair of the party’s 1922 Committee it triggers a vote among Tory MPs of no confidence in the leader"
4495,voting systems,"lc, but may be abbreviated after first mention, eg first past the post (FPTP), alternative vote (AV), single transferable vote (STV)"
4496,vulnerable people,"not “the vulnerable”, and not to be used as a synonym for disabled people. Generally used in the UK to refer to adults who may be at risk of neglect or abuse because they need care and support, and to whom the state has a safeguarding responsibility.

In relation to coronavirus, use the term clinically extremely vulnerable people."
4497,vuvuzela,not vuvuzuela
4498,wacky,not whacky
4499,wagon,not waggon
4500,Wags,"wives and girlfriends (generally of footballers: the term was popularised during the 2006 World Cup, although Fabio Capello initially banned them from joining the 2010 team in South Africa); the singular is Wag. Regarded by many as sexist, although variations include Habs (husbands and boyfriends)"
4501,Wagner group,
4502,Wahhabism,branch of Islam practised by followers of the teachings of Muhammad ibn Abd-al-Wahhab (1703-92)
4503,wah-wah pedal,
4504,Wailing Wall,Refer to the ancient wall in the Old City of Jerusalem as the Western Wall instead
4505,waiver or waver?,"To waive is to relinquish a claim or right, as in the much used headline “Britannia waives the rules”. The associated noun is waiver, which can lead to confusion with waver, meaning to hesitate (or a person waving).

Adding to the fun, waver is sometimes mixed up with haver, which in Scotland means to talk nonsense"
4506,wake,“in the wake of” is overused; nothing wrong with “as a result of” or simply “after”
